51.48	8.65
52.49	8.77
52.49	8.77
51.48	8.65
55.51	9.10
54.50	8.99
55.51	9.10
57.52	9.31
57.52	9.31
51.48	8.65
56.51	9.21
53.49	8.88
51.48	8.65
47.47	8.15
54.50	8.99
51.48	8.65
55.51	9.10
55.51	9.10
56.51	9.21
56.51	9.21
54.50	8.99
57.52	9.31
52.49	8.77
60.55	9.61
52.49	8.77
54.50	8.99
59.54	9.51
57.52	9.31
58.88	14.67
55.82	14.19
55.82	14.19
61.95	15.10
56.84	14.36
52.77	13.68
53.79	13.86
56.84	14.36
58.88	14.67
58.88	14.67
56.84	14.36
60.93	14.96
56.84	14.36
59.90	14.82
58.88	14.67
57.86	14.51
60.93	14.96
57.86	14.51
56.84	14.36
56.84	14.36
56.84	14.36
57.86	14.51
55.82	14.19
56.84	14.36
56.84	14.36
55.82	14.19
59.90	14.82
58.88	14.67
59.90	14.82
60.93	14.96
60.93	14.96
54.80	14.03
59.90	14.82
56.84	14.36
55.82	14.19
51.76	13.50
58.88	14.67
54.80	14.03
58.88	14.67
58.88	14.67
59.90	14.82
60.93	14.96
58.88	14.67
61.95	15.10
56.84	14.36
64.01	15.37
55.82	14.19
57.86	14.51
62.98	15.24
61.95	15.10
59.86	5.19
56.86	5.03
56.86	5.03
62.87	5.34
57.86	5.09
53.85	4.85
54.85	4.91
57.86	5.09
59.86	5.19
60.87	5.25
57.86	5.09
61.87	5.30
57.86	5.09
61.87	5.30
59.86	5.19
58.86	5.14
61.87	5.30
58.86	5.14
57.86	5.09
57.86	5.09
57.86	5.09
58.86	5.14
56.86	5.03
57.86	5.09
57.86	5.09
56.86	5.03
60.87	5.25
59.86	5.19
60.87	5.25
61.87	5.30
61.87	5.30
56.86	5.03
60.87	5.25
58.86	5.14
56.86	5.03
52.85	4.79
59.86	5.19
55.85	4.97
59.86	5.19
60.87	5.25
61.87	5.30
61.87	5.30
59.86	5.19
62.87	5.34
57.86	5.09
64.88	5.44
56.86	5.03
58.86	5.14
63.88	5.39
62.87	5.34
66.17	14.70
64.12	14.47
63.10	14.34
69.26	15.01
64.12	14.47
60.03	13.95
61.05	14.09
64.12	14.47
66.17	14.70
66.17	14.70
64.12	14.47
68.23	14.91
64.12	14.47
67.20	14.81
66.17	14.70
65.15	14.58
68.23	14.91
65.15	14.58
64.12	14.47
64.12	14.47
64.12	14.47
65.15	14.58
63.10	14.34
64.12	14.47
64.12	14.47
63.10	14.34
67.20	14.81
66.17	14.70
67.20	14.81
68.23	14.91
68.23	14.91
63.10	14.34
67.20	14.81
65.15	14.58
63.10	14.34
60.03	13.95
66.17	14.70
62.07	14.22
66.17	14.70
66.17	14.70
67.20	14.81
67.20	14.81
66.17	14.70
69.26	15.01
64.12	14.47
71.32	15.20
63.10	14.34
65.15	14.58
70.29	15.11
68.23	14.91
62.19	36.58
59.83	35.96
59.83	35.96
65.80	37.43
61.01	36.28
56.37	34.94
57.52	35.29
61.01	36.28
62.19	36.58
63.38	36.88
61.01	36.28
64.59	37.16
61.01	36.28
64.59	37.16
62.19	36.58
62.19	36.58
64.59	37.16
62.19	36.58
61.01	36.28
61.01	36.28
61.01	36.28
62.19	36.58
59.83	35.96
61.01	36.28
59.83	35.96
59.83	35.96
63.38	36.88
62.19	36.58
63.38	36.88
64.59	37.16
65.80	37.43
58.67	35.63
64.59	37.16
61.01	36.28
59.83	35.96
55.24	34.58
62.19	36.58
58.67	35.63
63.38	36.88
63.38	36.88
64.59	37.16
64.59	37.16
63.38	36.88
65.80	37.43
61.01	36.28
68.24	37.93
59.83	35.96
62.19	36.58
67.02	37.69
65.80	37.43
68.90	40.03
66.38	39.52
65.14	39.25
71.45	40.49
66.38	39.52
62.68	38.66
63.91	38.96
66.38	39.52
68.90	40.03
68.90	40.03
66.38	39.52
70.17	40.27
67.64	39.78
70.17	40.27
68.90	40.03
67.64	39.78
70.17	40.27
67.64	39.78
66.38	39.52
67.64	39.78
66.38	39.52
67.64	39.78
65.14	39.25
66.38	39.52
66.38	39.52
66.38	39.52
70.17	40.27
68.90	40.03
70.17	40.27
71.45	40.49
71.45	40.49
65.14	39.25
70.17	40.27
67.64	39.78
65.14	39.25
61.47	38.35
68.90	40.03
65.14	39.25
68.90	40.03
68.90	40.03
70.17	40.27
70.17	40.27
68.90	40.03
71.45	40.49
66.38	39.52
74.04	40.88
66.38	39.52
67.64	39.78
72.74	40.69
71.45	40.49
68.27	41.89
65.69	41.35
65.69	41.35
70.88	42.38
66.97	41.63
61.91	40.43
63.16	40.75
66.97	41.63
68.27	41.89
68.27	41.89
66.97	41.63
70.88	42.38
66.97	41.63
69.57	42.14
68.27	41.89
68.27	41.89
70.88	42.38
66.97	41.63
66.97	41.63
66.97	41.63
65.69	41.35
66.97	41.63
65.69	41.35
66.97	41.63
65.69	41.35
65.69	41.35
69.57	42.14
68.27	41.89
69.57	42.14
70.88	42.38
70.88	42.38
64.42	41.06
69.57	42.14
66.97	41.63
65.69	41.35
61.91	40.43
68.27	41.89
64.42	41.06
68.27	41.89
68.27	41.89
69.57	42.14
69.57	42.14
68.27	41.89
70.88	42.38
66.97	41.63
73.54	42.80
65.69	41.35
68.27	41.89
72.21	42.60
70.88	42.38
69.48	38.16
67.02	37.69
67.02	37.69
73.23	38.78
68.24	37.93
64.59	37.16
64.59	37.16
68.24	37.93
69.48	38.16
70.72	38.38
68.24	37.93
71.97	38.59
68.24	37.93
70.72	38.38
69.48	38.16
69.48	38.16
71.97	38.59
69.48	38.16
68.24	37.93
68.24	37.93
68.24	37.93
69.48	38.16
67.02	37.69
68.24	37.93
68.24	37.93
67.02	37.69
70.72	38.38
69.48	38.16
70.72	38.38
71.97	38.59
71.97	38.59
67.02	37.69
70.72	38.38
68.24	37.93
67.02	37.69
63.38	36.88
69.48	38.16
67.02	37.69
70.72	38.38
70.72	38.38
71.97	38.59
71.97	38.59
69.48	38.16
73.23	38.78
68.24	37.93
74.49	38.96
67.02	37.69
69.48	38.16
74.49	38.96
71.97	38.59
75.53	14.54
73.47	14.41
73.47	14.41
77.59	14.66
74.50	14.48
71.41	14.25
71.41	14.25
74.50	14.48
75.53	14.54
76.56	14.61
74.50	14.48
77.59	14.66
74.50	14.48
76.56	14.61
75.53	14.54
75.53	14.54
77.59	14.66
75.53	14.54
74.50	14.48
74.50	14.48
74.50	14.48
