 All trial positions and shifts for subevent#          1
 (isour = source position,ishift*dt=time shift)
 isour,ishift,corr,moment,DC%,str,dip,rak,str,dip,rak
    84    415     .292419        .3005E+20    76.828    130     67     67    357     30    132
    85    430     .289955        .3084E+20    95.037    126     63     71    344     32    122
    86    440     .275144        .3095E+20    78.689    122     57     75    329     34    112
    87    440     .252151        .3120E+20    55.753    309     40    105    110     51     77
    88    425     .233080        .3179E+20    55.839     85     46     71    291     46    108
    89    440     .225001        .3191E+20    73.567     67     42     63    282     53    112
    90    440     .225556        .3176E+20    94.437     50     41     45    282     61    121
 
 Selected source position for subevent #          2
 isour,ishift         14         365
 
 SINGULAR values, incl. vardat (min., max, max/min)
    3.604144E-13    7.516916E-13        2.085631
 
 Inversion result:
 coefficients of elem.seismograms a(1),a(2),...a(6):
 -.781991E+19  .897654E+19 -.446557E+19 -.103638E+20 -.927517E+19  .000000E+00
 and their sigma_a(1), sigma_a(2),... sigma_a(6):
  .144298E+13  .235460E+13  .270264E+13  .216749E+13  .188987E+13  .000000E+00
 
 moment (Nm):   2.124228E+19
   moment magnitude:   6.9
             VOL % :    .0
              DC % :  54.1
            CLVD % : -45.9
 strike,dip,rake:        247          54         -65
 strike,dip,rake:         29          42        -120
 P-axis azimuth and plunge:        213          69
 T-axis azimuth and plunge:        320           6
 B-axis azimuth and plunge:         52          19
 
 After subtraction of subevent #          2
 weighted variance reduction (used components only):
 varred=   5.047812E-01
 =======================================
 
