   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  107     0.964     179.715912     -37.592991      32.000000      5.00     10.00   337.496    38.664   -16.212     15.00     40.00    0
  108     0.900     179.696503     -37.635311      32.000000      5.00     10.00   335.041    35.125   -14.521     20.00     40.00    0
  109     0.784     179.677078     -37.677631      32.000000      5.00     10.00   333.203    39.930   -18.952     25.00     40.00    1
  110     0.637     179.657623     -37.719940      32.000000      5.00     10.00   334.491    50.945   -27.008     30.00     40.00    1
  111     0.496     179.638153     -37.762249      32.000000      5.00     10.00   343.034    69.228   -45.072     35.00     40.00    0
  112     0.289     179.618668     -37.804562      32.000000      5.00     10.00   340.647    70.536   -49.023     40.00     40.00    0
  113     0.210     179.870377     -37.254292      22.000000      5.00     10.00    77.101    33.367    41.414    -25.00     50.00    1
  114     0.362     179.851135     -37.296638      22.000000      5.00     10.00    75.512    31.278    45.097    -20.00     50.00    1
  115     0.387     179.831894     -37.338982      22.000000      5.00     10.00    68.374    26.045    48.537    -15.00     50.00    1
  116     0.425     179.812607     -37.381321      22.000000      5.00     10.00    45.370    21.020    39.524    -10.00     50.00    1
  117     0.528     179.793320     -37.423660      22.000000      5.00     10.00    20.073    20.220    26.397     -5.00     50.00    1
  118     0.641     179.774002     -37.466000      22.000000      5.00     10.00     6.740    20.532    19.959      0.00     50.00    1
  119     0.717     179.754654     -37.508331      22.000000      5.00     10.00     0.038    19.930    18.910      5.00     50.00    1
  120     0.748     179.735306     -37.550659      22.000000      5.00     10.00   353.274    19.701    17.219     10.00     50.00    0
  121     0.734     179.715912     -37.592991      22.000000      5.00     10.00   239.848    83.680   105.930     15.00     50.00    0
  122     0.702     179.696503     -37.635311      22.000000      5.00     10.00   227.426    81.706    95.894     20.00     50.00    0
  123     0.623     179.677078     -37.677631      22.000000      5.00     10.00   218.759    80.809    89.003     25.00     50.00    0
  124     0.511     179.657623     -37.719940      22.000000      5.00     10.00   212.419    80.815    84.889     30.00     50.00    0
  125     0.355     179.638153     -37.762249      22.000000      5.00     10.00   204.424    82.883    81.478     35.00     50.00    0
  126     0.207     179.618668     -37.804562      22.000000      5.00     10.00   197.942    84.929    81.682     40.00     50.00    0
  127     0.158     179.870377     -37.254292      12.000000      5.00     10.00   158.815    19.245   111.784    -25.00     60.00    0
  128     0.272     179.851135     -37.296638      12.000000      5.00     10.00   168.556    18.447   123.225    -20.00     60.00    0
  129     0.327     179.831894     -37.338982      12.000000      5.00     10.00   181.962    21.184   139.521    -15.00     60.00    0
  130     0.345     179.812607     -37.381321      12.000000      5.00     10.00   194.620    23.781   153.578    -10.00     60.00    0
  131     0.334     179.793320     -37.423660      12.000000      5.00     10.00   199.844    27.967   162.168     -5.00     60.00    0
  132     0.316     179.774002     -37.466000      12.000000      5.00     10.00   201.372    31.941   168.591      0.00     60.00    0
  133     0.349     179.754654     -37.508331      12.000000      5.00     10.00   241.500    89.793   115.953      5.00     60.00    0
  134     0.397     179.735306     -37.550659      12.000000      5.00     10.00    56.368    88.999  -117.675     10.00     60.00    1
  135     0.410     179.715912     -37.592991      12.000000      5.00     10.00    52.568    89.073  -117.572     15.00     60.00    1
  136     0.393     179.696503     -37.635311      12.000000      5.00     10.00   226.586    89.525   119.558     20.00     60.00    0
  137     0.358     179.677078     -37.677631      12.000000      5.00     10.00   221.741    88.273   121.518     25.00     60.00    0
  138     0.299     179.657623     -37.719940      12.000000      5.00     10.00   217.765    87.846   122.591     30.00     60.00    0
  139     0.226     179.638153     -37.762249      12.000000      5.00     10.00   305.371    34.994    -1.552     35.00     60.00    1
  140     0.100     179.618668     -37.804562      12.000000      5.00     10.00   207.348    87.754   128.760     40.00     60.00    0
